Sender, Receiver, #hops, Total Time
1, 131, 11, 40000.012933
1, 107, 13, 44999.983329
1, 161, 14, 50000.029071
1, 138, 16, 29999.956251
1, 102, 8, 30000.042685
1, 19, 5, 24999.992930
1, 52, 10, 24999.973227
1, 14, 13, 65000.032113
1, 146, 13, 44999.963137
1, 33, 4, 18000.032643
1, 77, 9, 31999.974061
1, 32, 4, 19999.989652
1, 76, 5, 24999.995545
1, 156, 11, 40000.008908
1, 18, 3, 15000.007120
1, 176, 16, 56000.010247
1, 183, 13, 64000.020095
1, 173, 13, 43999.974569
1, 104, 11, 40999.993110
1, 139, 17, 34999.987477
1, 44, 3, 15000.008764
1, 99, 7, 35000.006949
1, 22, 8, 30000.024829
1, 143, 10, 34999.989503
1, 117, 11, 44999.995012
1, 5, 4, 20000.007533
1, 103, 9, 34999.980962
1, 36, 7, 20999.988576
1, 176, 16, 55000.010544
1, 75, 5, 24000.029022
1, 74, 6, 24999.964730
1, 4, 3, 14999.994838
1, 86, 7, 30000.012504
1, 196, 20, 45000.020990
1, 35, 6, 19999.962984
1, 64, 9, 30000.003514
1, 89, 8, 35000.005670
1, 9, 8, 40000.001095
1, 196, 20, 45000.001292
1, 109, 15, 29999.993174
1, 112, 16, 35000.018203
1, 150, 10, 49999.980124
1, 68, 11, 25000.001893
1, 29, 2, 10000.036091
1, 168, 19, 39999.991492
1, 25, 10, 30000.015329
1, 177, 17, 64999.960816
1, 145, 13, 45000.023011
1, 40, 11, 25000.004469
1, 139, 17, 35000.002137
1, 37, 8, 21999.982370
1, 76, 5, 23000.010645
1, 113, 8, 39999.968411
1, 3, 2, 10000.007839
1, 51, 9, 25000.035620
1, 179, 12, 59999.956617
1, 40, 11, 25000.004910
1, 170, 12, 45000.042054
1, 4, 3, 14999.978162
1, 193, 19, 70000.018194
1, 170, 12, 44999.982739
1, 177, 17, 65000.016025
1, 138, 16, 29999.970782
1, 159, 14, 45000.009699
1, 131, 11, 40000.011091
1, 54, 12, 29999.986570
1, 81, 13, 30000.006357
1, 49, 7, 24999.973014
1, 90, 6, 30000.005974
1, 14, 13, 64999.997717
1, 93, 12, 40000.018009
1, 171, 12, 45000.023628
1, 77, 9, 34999.992122
1, 36, 7, 20999.983871
1, 84, 14, 33999.999952
1, 186, 14, 45000.017284
1, 172, 13, 45000.003403
1, 127, 9, 44999.987061
1, 96, 13, 27000.008215
1, 87, 6, 22999.978662
1, 173, 13, 43999.989327
1, 42, 13, 31000.036379
1, 88, 7, 29999.974051
1, 38, 9, 23000.003045
1, 91, 6, 27000.008353
1, 37, 8, 22000.005833
1, 13, 12, 57999.988704
1, 13, 12, 60000.001580
1, 115, 8, 29999.996907
1, 133, 13, 50000.009382
1, 39, 11, 24999.984854
1, 14, 13, 65000.011178
1, 113, 8, 40000.010326
1, 141, 10, 49999.968199
1, 129, 9, 32000.030135
1, 148, 15, 53000.013612
1, 156, 11, 39999.977055
1, 119, 13, 55000.018918
1, 164, 18, 69999.981438
1, 3, 2, 10000.016138
1, 103, 9, 35000.000079
1, 117, 11, 44999.970199
1, 49, 7, 25000.011092
1, 147, 15, 54999.993627
1, 30, 2, 10000.015276
1, 25, 10, 29999.970618
1, 195, 13, 65000.020537
1, 37, 8, 21999.996965
1, 91, 6, 28000.021819
1, 12, 11, 54999.973858
1, 181, 19, 40000.002546
1, 200, 15, 50000.006077
1, 135, 9, 45000.011818
1, 143, 10, 34999.994793
1, 44, 3, 14999.990919
1, 183, 13, 65000.020733
1, 182, 19, 39999.960729
1, 121, 9, 45000.041880
1, 199, 14, 49999.960086
1, 162, 16, 59999.995500
1, 56, 13, 35000.004269
1, 5, 4, 20000.013916
1, 132, 13, 50000.014198
1, 119, 13, 54999.987860
1, 81, 13, 29999.981734
1, 119, 13, 55000.045083
1, 172, 13, 44999.972678
1, 46, 3, 15000.002769
1, 49, 7, 24999.989602
1, 83, 13, 30000.002825
1, 62, 7, 25000.020643
1, 78, 10, 34999.964279
1, 191, 18, 65000.001760
1, 25, 10, 30000.034856
1, 87, 6, 24999.980145
1, 177, 17, 64999.992070
1, 33, 4, 18000.017017
1, 83, 13, 27000.007255
1, 45, 3, 14999.967154
1, 23, 9, 30000.046472
1, 64, 9, 29999.966954
1, 79, 11, 35000.007790
1, 53, 10, 23999.990162
1, 110, 14, 24000.021082
1, 92, 11, 36999.986609
1, 19, 5, 25000.017361
1, 23, 9, 30000.000588
1, 88, 7, 29999.973225
1, 98, 15, 35000.010584
1, 7, 6, 29999.987141
1, 41, 13, 35000.015789
1, 48, 6, 19999.984621
1, 113, 8, 40000.011511
1, 10, 9, 44999.994806
1, 52, 10, 25000.004898
1, 187, 14, 45000.008656
1, 2, 1, 5000.006215
1, 38, 9, 22999.973002
1, 92, 11, 37000.004016
1, 2, 1, 5000.020554
1, 55, 12, 29999.985200
1, 83, 13, 30000.016813
1, 129, 9, 31999.994468
1, 172, 13, 42999.972966
1, 13, 12, 60000.034179
1, 18, 3, 15000.010370
1, 21, 7, 29999.984758
1, 57, 4, 19999.998791
1, 143, 10, 34999.975547
1, 175, 15, 55000.036502
1, 194, 13, 64999.980284
1, 137, 17, 34999.985767
1, 200, 15, 50000.021747
1, 42, 13, 35000.009343
1, 9, 8, 39999.969314
1, 146, 13, 45000.019344
1, 13, 12, 60000.020909
1, 119, 13, 54999.999734
1, 153, 18, 34999.978436
1, 56, 13, 35000.007132
1, 21, 7, 29999.981471
1, 169, 12, 60000.017015
1, 195, 13, 65000.013333
1, 15, 1, 4999.978815
1, 181, 19, 40000.012599
1, 197, 14, 69999.969564
1, 174, 14, 45000.006902
1, 101, 7, 28999.999526
1, 140, 18, 36000.013753
1, 122, 17, 34999.992624
1, 179, 12, 59999.986955
1, 147, 15, 54999.993756
1, 32, 4, 20000.002929
1, 55, 12, 29999.997963
1, 23, 9, 30000.015076
1, 113, 8, 39999.993805
1, 140, 18, 40000.029023
1, 29, 2, 9999.964769
1, 64, 9, 30000.024217
1, 161, 14, 49999.985710
1, 95, 14, 29999.996692
1, 140, 18, 40000.034307
1, 6, 5, 24999.956141
1, 187, 14, 45000.027264
1, 17, 2, 9999.976983
1, 33, 4, 18000.025705
1, 136, 10, 46999.997574
1, 96, 13, 26999.974098
1, 76, 5, 23000.010529
1, 92, 11, 40000.019288
1, 112, 16, 34999.995821
1, 179, 12, 60000.018457
1, 109, 15, 29999.973203
1, 95, 14, 29999.981109
1, 44, 3, 15000.045436
1, 17, 2, 9999.972068
1, 118, 11, 44999.989096
1, 123, 16, 30000.027044
1, 194, 13, 65000.013951
1, 89, 8, 34999.959263
1, 49, 7, 25000.004487
1, 109, 15, 30000.021907
1, 143, 10, 34999.969042
1, 119, 13, 55000.028602
1, 82, 12, 25999.982975
1, 6, 5, 23999.992263
1, 84, 14, 35000.038516
1, 74, 6, 24999.968109
1, 50, 8, 25000.008757
1, 136, 10, 49999.977415
1, 93, 12, 40000.013922
1, 37, 8, 22000.008205
1, 36, 7, 18999.996349
1, 171, 12, 43999.993247
1, 175, 15, 54999.989834
1, 59, 4, 17000.037059
1, 70, 13, 32999.988162
